"","F_value Intercept","p_value Intercept","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient cEi","Coef SE Intercept","Coef SE cEi","Coef tval Intercept","Coef tval cEi","Coef pval Intercept","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi"
"PTHR23073",11.9453957101193,0.00122569524790397,9.77425111517288,0.00313261378113976,0.829747571372086,-7.02468796509453,3.21480796791745,2.24690800500918,0.258101752780461,-3.1263798737794,0.797531832108873,0.00313261378113976,-0.426338507778296,0.0289207379437367
"PTHR23074_SF71",27.4178248941922,4.4033967121845e-06,0.245863115329447,0.622470932158147,1.09151430039839,-0.112129147033295,0.32355012572566,0.226137105161419,3.37355548216938,-0.495845858437324,0.00155708694813101,0.622470932158147,-0.0745435985808868,0.859020063998624
"PTHR23074_SF82",10.3849096656011,0.00239385399077681,3.86173051455274,0.0557321682409244,1.7619003395514,0.65885121769266,0.479696020434513,0.335271294286227,3.67295175381163,1.96512862544739,0.000646524513099967,0.0557321682409244,0.284051301396278,0.230231005914241
"PTHR23075_SF4",3.35960956217787,0.0735855301352088,0.0365903315553813,0.849181507832331,1.02548878196752,0.095374321821951,0.713375245499375,0.498595426440445,1.43751663439016,0.191285994143276,0.157645388163967,0.849181507832331,0.028825465531136,0.946820605767124
"PTHR23076_SF37",21.0475709424234,3.7126732303266e-05,17.6610300246594,0.000127031508092454,0.10157482425497,-0.976146432176613,0.332335474298068,0.232277400392467,0.305639427959076,-4.20250282863193,0.76132057042127,0.000127031508092454,-0.535183390827837,0.00220757276248063
"PTHR23076_SF45",38.7233649009505,1.5869141823243e-07,0.00257697403216434,0.959743410173035,1.13054946583033,-0.0091414211361119,0.25764898763669,0.180077186127671,4.38794452949498,-0.0507639048159649,7.05626389892718e-05,0.959743410173035,-0.00765272250105757,0.989653139983962
"PTHR23078",8.19630738716822,0.00640574332816004,5.25054057096513,0.0267846502527152,1.92946735952826,0.847347924117337,0.529089941282071,0.36979391500222,3.64676628486424,2.29140580669709,0.000699092630964671,0.0267846502527152,0.326510016212787,0.136430188971958
"PTHR23080_SF59",2.75398008745541,0.104124723514095,0.0330502211908165,0.856576833238522,1.60597575892337,-0.194001036263921,1.52681567198384,1.06712885801895,1.05184652502071,-0.181797197972952,0.298612568560632,0.856576833238522,-0.0273966713452106,0.949303800180742
"PTHR23083_SF341",27.4078743562427,4.41736134172452e-06,23.5887461334558,1.54486275824605e-05,2.16406539171349,1.02921626602792,0.303196342225466,0.211911347500243,7.13750494425235,4.85682469659507,7.19103000537757e-09,1.54486275824605e-05,0.590765647255478,0.000363042748187822
"PTHR23083_SF369",3.7107643741177,0.060537855006061,6.54836054512674,0.0140136073723189,2.8615497534076,1.61493127306909,0.902937099913077,0.631084848009985,3.16915735734313,2.55897646435577,0.00278080575695203,0.0140136073723189,0.359925614105269,0.0866371899729612
"PTHR23085_SF5",18.9670172439694,7.83496424291254e-05,0.121906887023342,0.728640906441017,1.21371869768488,-0.103910460342716,0.425809055047106,0.297608374726819,2.8503825442383,-0.34915166765081,0.00662210518688125,0.728640906441017,-0.0525638277930536,0.904864547405687
"PTHR23086_SF16",4.48378677587788,0.0399053838402548,13.1890449150873,0.000731235056528723,-0.745998634680748,-1.80519511863726,0.711192587397547,0.497069913249567,-1.04894039659576,-3.63167246803554,0.299933194581316,0.000731235056528723,-0.480231066858293,0.0090011553386988
"PTHR23086_SF21",10.8173385952518,0.00198356945822094,32.5790168161883,9.05554005052615e-07,2.80763399703187,1.76318798509673,0.441976700474462,0.308908337989138,6.35244797750169,5.70780315149255,1.02274648742085e-07,9.05554005052615e-07,0.652250009068198,3.84831094983852e-05
"PTHR23087",4.13423953027455,0.048083256978856,3.74024294396887,0.0595647457294737,0.590822845195248,-9.37147019121337,6.93310163167358,4.84571449094705,0.085217681289439,-1.9339707712292,0.932474920219768,0.0595647457294737,-0.279903026116493,0.241292642837515
