"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","Coefficient Intercept","Coefficient log10MLSP","Coef SE Intercept","Coef SE log10MLSP","Coef tval Intercept","Coef tval log10MLSP","Coef pval Intercept","Coef pval log10MLSP","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR14914_SF6",33.9673936728293,6.03314771525555e-07,0.547093523627577,0.4634359672647,1.07534444753229,0.197049652353979,0.397812599889985,0.266406542473052,2.70314325848322,0.73965770706968,0.00972469335590587,0.4634359672647,0.110820753824984,0.882997516248341
"PTHR14914_SF7",79.9331735664358,1.8782449941072e-11,1.07126349215962,0.306315474106922,1.01598529486092,0.166531969637383,0.24026090827252,0.160897563028467,4.22867499405488,1.03501859507915,0.000116975482466543,0.306315474106922,0.154169436813936,0.786907329755423
"PTHR14928",72.6101195426279,7.29164542730108e-11,0.847814112352507,0.362192478377029,2.35676866613824,-0.259518136480433,0.420872976693951,0.281849580863916,5.59971487038958,-0.920768218582998,1.30318645276726e-06,0.362192478377029,-0.137492712680949,0.821973218866251
"PTHR14938",8.76206713821387,0.00493905491128448,2.00960567482286,0.163349048103627,2.24283160849579,-0.747477495905267,0.787365435922047,0.527281698731486,2.84852687985892,-1.41760561328702,0.00665470180065033,0.163349048103627,-0.208992724990443,0.65276489174551
"PTHR14942",7.76160775877097,0.00784493509256771,0.0794467332891284,0.779370092765967,0.977534559528496,0.136562175554931,0.72347920529711,0.484498464069908,1.35115778362566,0.281862968992254,0.183551953126435,0.779370092765967,0.0424541309192009,0.962913640754701
"PTHR14948_SF4",0.739369776623915,0.394523799934658,15.5280889755107,0.000287071376237245,-5.48727359121311,5.25807569338258,1.99251443590894,1.33434406513253,-2.75394420854469,3.94056962576615,0.00852780219777922,0.000287071376237245,0.51073783960773,0.0110164034181659
"PTHR14949_SF19",1.69264664953059,0.200024605276503,3.2001511972899,0.0805171637204613,3.01004134394704,-1.63070377067908,1.36120480895925,0.911569585409841,2.21130672190944,-1.78889664242792,0.0322562232655642,0.0805171637204613,-0.260383556157566,0.484039228412541
"PTHR14949_SF22",0.886958508752615,0.351445166571411,15.8710665094653,0.000251222990570676,-4.81651154131052,4.6846238130109,1.7559223799911,1.17590345362075,-2.74300937000127,3.98385071375237,0.00877330390395645,0.000251222990570676,0.514866409141368,0.0110164034181659
"PTHR14952",256.395940042207,5.71769945801745e-20,4.20440298434466,0.0463053727873474,1.68983587670612,0.313077455501385,0.227999175188593,0.152686144092718,7.4115876748604,2.0504640899915,2.86296499777184e-09,0.0463053727873474,0.295330848817313,0.367598890304163
"PTHR14955_SF7",0.874792348374639,0.354737087034191,15.8924975802065,0.00024914524433961,-5.63602333213407,5.47363074448014,2.05027949106084,1.37302808022667,-2.74890489648216,3.98653954956006,0.00864014162522767,0.00024914524433961,0.515121723304394,0.0110164034181659
"PTHR14958_SF15",0.781273694508718,0.381556263210068,2.6782862259462,0.10885909272059,4.26295235191279,-2.52689534547138,2.30564484062222,1.5440407627382,1.84891978018712,-1.63654704360926,0.0711953174413359,0.10885909272059,-0.239536137624317,0.557919711886443
"PTHR14964",2.68136759386038,0.108661663987382,4.44892668021611,0.0406485388728186,3.4648326888498,-1.83568663176743,1.2995846385469,0.870303882536948,2.66610775941759,-2.10924789444392,0.0106928546575083,0.0406485388728186,-0.303029942973757,0.343808500568462
"PTHR14965",11.0956112900689,0.00175936463145573,0.898732504106995,0.348299718390798,0.92553824262877,0.528068928285972,0.831781080968289,0.557025900980866,1.11271855516519,0.948015033692502,0.271871770783345,0.348299718390798,0.141481020583263,0.809762583060338
"PTHR14969_SF17",39.7187548828133,1.21227434783469e-07,0.107685868729821,0.744350830582582,0.98854711432907,0.0656087130166874,0.298549129328806,0.199931931077152,3.31117064903693,0.328155250955734,0.00186199051378979,0.744350830582582,0.0494108382292363,0.957070894242927
"PTHR14971",50.4364027906839,8.10851983143036e-09,0.370239008830862,0.54600255638933,1.20350587519955,-0.108108480817859,0.26530920940346,0.177671871587228,4.53623859460287,-0.608472685361358,4.38474797097185e-05,0.54600255638933,-0.0913471923159002,0.915561832154989
"PTHR14972",53.9249065706721,3.59919286741016e-09,0.226724182321436,0.636319449939916,3.40103901102421,-0.237588409424559,0.745092129978184,0.498972174904124,4.56458855782545,-0.476155628257649,4.00142915847855e-05,0.636319449939916,-0.0715989305908991,0.934278298484384
"PTHR14978",7.97234419194438,0.00710850802113889,1.65880294671105,0.204497603772448,1.99255216870192,-0.645059031234534,0.747886526296522,0.500843522020012,2.66424397103246,-1.28794524212447,0.0107438440520429,0.204497603772448,-0.190605372826591,0.712554413818742
"PTHR15000",61.6534894806149,6.58746514533529e-10,0.197666120858183,0.658790627906083,1.13801994123237,-0.0701855892492381,0.235730338021512,0.157863537569404,4.82763462176225,-0.444596582148562,1.70005296588259e-05,0.658790627906083,-0.0668754090296323,0.934278298484384
"PTHR15012_SF33",18.6000405377851,8.96405171633735e-05,3.77058757432283,0.0585810097783627,0.443060151176993,0.675557488186079,0.519507048752595,0.347902697619011,0.852847237089159,1.9418000860858,0.398362821525617,0.0585810097783627,0.28094688709488,0.42278691441767
"PTHR15021",594.623925760092,3.41284529357336e-27,0.00168425049139857,0.967449971900743,2.08993247492748,0.00415537274612996,0.151195997279713,0.101252707637196,13.8226706561623,0.0410396209948212,1.28936065112006e-17,0.967449971900743,0.00618683724351026,0.993966434346883
"PTHR15025",37.4961360868952,2.22224441921723e-07,0.0626636945238073,0.80349953127328,1.99329524237656,-0.0906660669381285,0.540842020578319,0.362190269403874,3.68554063207799,-0.250327174960705,0.000622625485276641,0.80349953127328,-0.0377113972954316,0.963476786214745
"PTHR15031",27.5811172158941,4.18072053149958e-06,0.00194334812684701,0.965037365157095,1.91457674018932,-0.0187124580672897,0.633853927064671,0.424478342789958,3.02053305728589,-0.0440834223586034,0.00419178215611631,0.965037365157095,-0.00664567921621988,0.993966434346883
"PTHR15032_SF8",27.8965674700612,3.78330160855578e-06,10.0612431472525,0.00275921553845195,0.150239824671641,0.815800299820484,0.384053463934222,0.257192345038368,0.391195077718069,3.17194627117997,0.697541043125123,0.00275921553845195,0.431402649688118,0.0481457441714808
"PTHR15035",14.0557134276583,0.000514384932733883,0.064022400271273,0.801426203837968,1.62507345788815,0.143256013701757,0.845435605624573,0.566170042478144,1.92217295684822,0.253026481363657,0.0610738731410181,0.801426203837968,0.0381174558963941,0.963476786214745
"PTHR15036",27.2256911483694,4.68140591553761e-06,2.56129018948184,0.116665788861955,2.69629285242956,-0.67488244142443,0.629698102155423,0.421695276226701,4.28188181479394,-1.60040313342665,9.88674134945817e-05,0.116665788861955,-0.234539983395319,0.574121576289022
"PTHR15046",174.537914443091,6.46523687931321e-17,0.015238838964267,0.90231636165981,2.09460222937018,-0.0227578612301582,0.275289187069091,0.184355247992587,7.60873411582445,-0.123445692368211,1.4804423203518e-09,0.90231636165981,-0.0186069164889378,0.982773275746658
"PTHR15073",117.582642894794,5.18298990276391e-14,0.220261204617287,0.641158373909658,4.16565374394889,-0.199947471743495,0.636180803401183,0.426036601828872,6.54790858460089,-0.469319938439959,5.27389768915932e-08,0.641158373909658,-0.0705762133410803,0.934278298484384
"PTHR15074",56.0739130201905,2.21460788776441e-09,0.380056119987173,0.540749924709285,2.50833368230509,-0.21744528639158,0.526695709898671,0.352716789383491,4.76239626631411,-0.616486917936766,2.10453745180713e-05,0.540749924709285,-0.092540095130265,0.911048964062121
"PTHR15075",78.2956649545251,2.52545085178578e-11,0.00185397219710703,0.965850285736495,3.16269778488853,0.0182661675511732,0.633474994995226,0.424224580132664,4.99261661450798,0.0430577774287879,9.87986693351243e-06,0.965850285736495,0.00649106743204442,0.993966434346883
"PTHR15076",8.90737041094862,0.00462303467302322,0.527552715999433,0.471483939419832,1.10822237373019,0.490823010222712,1.00908007607689,0.675759224872296,1.09825017855743,0.726328242600708,0.278068868332027,0.471483939419832,0.108847514971671,0.886457751017833
"PTHR15081_SF1",9.46840107830689,0.00359004193671946,0.920944967129003,0.342470985959451,1.88839498319232,-0.478138099348205,0.743995244593974,0.498237614352806,2.53818152322047,-0.959658776403886,0.0147583616313388,0.342470985959451,-0.143183309916739,0.808260327790291
"PTHR15082_SF2",1.79277760764774,0.18746481600526,0.010747019853397,0.917904040449257,1.61115574677503,-0.132191343475818,1.90411265339698,1.27514329262312,0.846145181536761,-0.103667834227387,0.402050186926855,0.917904040449257,-0.0156266057574463,0.986145166116912
"PTHR15083",11.2880809611603,0.00162004945988838,0.00906423844082289,0.92458325130261,1.04259032821497,-0.0334456674645104,0.524575320926964,0.351296810491905,1.9874940482763,-0.0952062941239858,0.0531138309298146,0.92458325130261,-0.0143514107187278,0.986145166116912
"PTHR15092",160.714977735548,2.74417042962703e-16,6.51746403309811,0.0142264539316437,2.23068394623534,0.747334829525572,0.437128929825204,0.292735843062496,5.10303435448056,2.55293243802066,6.85579574583491e-06,0.0142264539316437,0.359185297251795,0.166481478867238
"PTHR15095",12.2091042396356,0.00109721777312152,0.472797675367324,0.495311765775569,1.6254439735102,-0.293367445673067,0.637100434794797,0.426652459194853,2.55131512197717,-0.68760284711985,0.0142839074872959,0.495311765775569,-0.103107543701648,0.899547920877983
"PTHR15106",7.89409314168048,0.00737299517306514,0.752404955488805,0.390422042241696,1.41933641744882,-0.356867798009506,0.614349042538609,0.411416341110369,2.31030948072101,-0.867412794169423,0.0256208662498249,0.390422042241696,-0.129663468311169,0.843230060946035
"PTHR15107",69.1086656829165,1.43864234811574e-10,0.951987241450858,0.334548004844511,3.15963787320095,-0.373552318115174,0.571701747963744,0.382856365140122,5.5267241782184,-0.975698335271132,1.66560068230985e-06,0.334548004844511,-0.145526175522734,0.8047869264773
"PTHR15109",673.672741540169,2.60884017724729e-28,0.0333959941623761,0.855836990131971,2.17950348204697,-0.0179023718756142,0.146284069739181,0.0979632954031106,14.8991170804377,-0.182745709012212,8.40058427736177e-19,0.855836990131971,-0.027539502962867,0.976749942380197
"PTHR15114_SF1",3.76770887208952,0.0586735614832125,0.88398535373466,0.352245697197784,1.89885505109915,-0.637086842343233,1.01183511979428,0.677604218397675,1.87664473583919,-0.940204953047292,0.0672084034060629,0.352245697197784,-0.140338499504807,0.812293017706599
"PTHR15116",108.930057231537,1.75710638906487e-13,0.190644677452159,0.664515832988276,1.97280196938271,0.103537687396787,0.354094977085754,0.237129790706926,5.57139213218758,0.436628763885476,1.43343092523343e-06,0.664515832988276,0.0656821217907771,0.937156234528167
"PTHR15117_SF4",8.2220162871279,0.00632992680612303,0.688858464613332,0.411033578413176,1.15641978199433,-0.277969874397389,0.500110968230912,0.334913559641131,2.31232637445454,-0.82997497830557,0.0254994081133479,0.411033578413176,-0.124155330142341,0.85160248247961
"PTHR15129",144.938896835643,1.61949911253345e-15,0.16866189614944,0.683296967295153,2.00040175984216,0.0846000447326209,0.307606672414127,0.205997572882687,6.50311563186459,0.410684667536347,6.13812650627973e-08,0.683296967295153,0.0617947199047299,0.943694646149478
"PTHR15132",12.8708839156151,0.000833410089524833,0.409585454529986,0.525498686199421,0.804277305117777,0.227979520461594,0.531933352203141,0.356224325789905,1.51198886436929,0.639988636250665,0.137686439212394,0.525498686199421,0.096035964638425,0.910699682540317
"PTHR15135",289.743446494316,5.59630955498196e-21,0.879093595896034,0.353568358037717,2.52654456124589,0.178227398429235,0.283851084523694,0.190088966578978,8.90095088234546,0.937599912487215,2.13303261320203e-11,0.353568358037717,0.139957288380476,0.813451142519188
"PTHR15136",136.479708964989,4.46648982200294e-15,0.326198381633838,0.570812132716349,2.23472268069484,-0.120243024286322,0.314378355671513,0.210532423522968,7.10838593172698,-0.571137795662166,7.93214558599078e-09,0.570812132716349,-0.0857848622283213,0.926901054043821
"PTHR15138",54.5059952825484,3.15289455696004e-09,3.14810312319366,0.0829348833253584,1.44496342663049,0.627709198044646,0.528284253247616,0.353780602699806,2.73520063819357,1.77428946995513,0.00895259958741772,0.0829348833253584,0.258399912777317,0.492041099258438
"PTHR15140",18.5500710322142,9.13052592431775e-05,17.1092327086875,0.00015636065699475,-0.844835633605411,2.44727966138258,0.883490700423955,0.59165472102224,-0.956247341596245,4.13633082679415,0.344171995082911,0.00015636065699475,0.529129349331429,0.0110164034181659
"PTHR15141",2.98910527465772,0.0908382280772354,0.969954036112449,0.330076538032966,0.314298772656629,1.20504509023489,1.82709600737205,1.22356690116129,0.172020939999038,0.984862445274694,0.864209839771512,0.330076538032966,0.146863662820566,0.8047869264773
